iter	Passed	Remaining
0	150	149883
1	154	77110
2	157	52188
3	159	39635
4	161	32096
5	162	26979
6	165	23410
7	166	20691
8	168	18528
9	170	16859
10	171	15407
11	173	14264
12	175	13287
13	176	12451
14	178	11736
15	180	11115
16	182	10561
17	184	10057
18	186	9604
19	187	9206
20	189	8845
21	191	8514
22	193	8213
23	195	7937
24	197	7685
25	199	7459
26	201	7255
27	203	7059
28	205	6868
29	207	6695
30	209	6543
31	211	6401
32	213	6248
33	214	6108
34	216	5978
35	218	5853
36	220	5735
37	222	5625
38	223	5519
39	226	5424
40	227	5328
41	229	5235
42	231	5146
43	233	5063
44	235	4990
45	237	4918
46	239	4849
47	241	4786
48	243	4732
49	246	4679
50	248	4615
51	249	4556
52	251	4502
53	254	4455
54	256	4402
55	258	4353
56	260	4305
57	262	4259
58	264	4216
59	265	4161
60	267	4120
61	269	4080
62	271	4037
63	273	3994
64	274	3954
65	276	3914
66	278	3878
67	280	3843
68	282	3813
69	284	3780
70	285	3739
71	287	3710
72	289	3681
73	291	3649
74	293	3617
75	295	3587
76	296	3558
77	299	3536
78	301	3510
79	302	3483
80	304	3455
81	305	3423
82	307	3400
83	309	3378
84	311	3355
85	313	3332
86	315	3310
87	317	3289
88	319	3268
89	321	3247
90	322	3226
91	324	3205
92	326	3184
93	328	3165
94	330	3147
95	332	3130
96	334	3114
97	336	3098
98	338	3080
99	340	3062
100	342	3044
101	344	3029
102	345	3012
103	347	2996
104	350	2983
105	352	2968
106	353	2953
107	355	2937
108	357	2923
109	359	2909
110	361	2896
111	363	2880
112	365	2868
113	367	2854
114	369	2840
115	370	2825
116	372	2812
117	374	2799
118	376	2785
119	378	2773
120	380	2763
121	382	2751
122	384	2739
123	386	2727
124	387	2713
125	389	2702
126	391	2689
127	393	2678
128	395	2668
129	398	2664
130	401	2660
131	403	2652
132	405	2640
133	406	2629
134	408	2619
135	410	2608
136	412	2600
137	415	2594
138	416	2582
139	418	2572
140	420	2561
141	422	2552
142	424	2543
143	426	2533
144	428	2525
145	430	2520
146	433	2512
147	434	2503
148	436	2495
149	438	2485
150	440	2477
151	442	2468
152	444	2460
153	447	2458
154	449	2453
155	452	2445
156	454	2439
157	456	2432
158	458	2427
159	460	2420
160	463	2417
161	466	2412
162	468	2407
163	470	2399
164	472	2392
165	475	2386
166	477	2381
167	479	2376
168	481	2369
169	484	2363
170	486	2356
171	488	2350
172	490	2343
173	492	2337
174	495	2335
175	497	2329
176	499	2323
177	501	2318
178	504	2312
179	506	2306
180	508	2299
181	510	2296
182	513	2291
183	515	2286
184	517	2281
185	519	2275
186	522	2269
187	524	2264
188	526	2260
189	529	2256
190	532	2253
191	534	2247
192	536	2241
193	537	2233
194	540	2229
195	542	2227
196	545	2223
197	547	2218
198	549	2212
199	551	2207
200	553	2202
201	555	2196
202	558	2192
203	560	2188
204	562	2182
205	564	2177
206	566	2171
207	569	2166
208	571	2161
209	573	2157
210	576	2154
211	578	2150
212	580	2145
213	582	2141
214	585	2137
215	587	2132
216	590	2128
217	592	2125
218	594	2120
219	596	2115
220	599	2112
221	601	2106
222	603	2102
223	605	2097
224	608	2095
225	610	2091
226	612	2086
227	614	2082
228	616	2077
229	619	2072
230	621	2068
231	623	2065
232	626	2061
233	628	2057
234	629	2050
235	631	2045
236	633	2040
237	636	2036
238	638	2033
239	641	2030
240	643	2027
241	645	2022
242	648	2019
243	650	2014
244	652	2010
245	654	2007
246	657	2003
247	659	1998
248	661	1994
249	663	1990
250	665	1986
251	667	1982
252	670	1978
253	672	1976
254	675	1973
255	677	1968
256	679	1964
257	681	1960
258	683	1956
259	686	1952
260	689	1951
261	691	1947
262	693	1943
263	695	1938
264	697	1934
265	699	1931
266	701	1926
267	704	1925
268	707	1921
269	709	1917
270	711	1914
271	713	1910
272	716	1907
273	718	1903
274	721	1901
275	723	1897
276	725	1893
277	727	1890
278	730	1886
279	731	1882
280	733	1877
281	736	1875
282	739	1873
283	741	1869
284	744	1867
285	746	1864
286	749	1861
287	751	1858
288	754	1855
289	756	1851
290	758	1847
291	760	1843
292	761	1838
293	763	1833
294	765	1830
295	768	1827
296	770	1823
297	772	1819
298	773	1814
299	776	1810
300	777	1806
301	779	1801
302	781	1796
303	784	1796
304	787	1793
305	789	1790
306	791	1786
307	793	1782
308	794	1777
309	796	1772
310	798	1769
311	801	1767
312	803	1763
313	805	1759
314	807	1755
315	809	1751
316	810	1746
317	812	1742
318	814	1738
319	817	1736
320	820	1734
321	822	1731
322	824	1728
323	826	1724
324	828	1720
325	829	1715
326	832	1713
327	834	1709
328	836	1705
329	838	1701
330	840	1698
331	841	1693
332	843	1689
333	845	1685
334	847	1683
335	851	1682
336	853	1678
337	855	1676
338	857	1672
339	859	1669
340	861	1665
341	865	1664
342	867	1662
343	869	1658
344	870	1653
345	872	1649
346	873	1644
347	875	1640
348	878	1638
349	880	1636
350	883	1632
351	884	1628
352	886	1625
353	888	1621
354	890	1617
355	891	1613
356	893	1609
357	896	1607
358	898	1604
359	900	1600
360	902	1597
361	903	1593
362	905	1589
363	907	1585
364	909	1581
365	911	1579
366	914	1577
367	916	1574
368	919	1572
369	922	1569
370	924	1567
371	927	1565
372	930	1563
373	932	1560
374	933	1556
375	935	1552
376	937	1549
377	939	1545
378	940	1541
379	943	1539
380	946	1537
381	948	1533
382	950	1530
383	951	1526
384	953	1523
385	955	1519
386	957	1516
387	959	1514
388	962	1511
389	964	1507
390	966	1504
391	967	1500
392	969	1497
393	971	1493
394	973	1491
395	975	1488
396	978	1485
397	981	1484
398	983	1480
399	984	1477
400	986	1473
401	988	1470
402	990	1467
403	993	1465
404	995	1461
405	996	1458
406	999	1455
407	1000	1452
408	1002	1448
409	1004	1445
410	1006	1441
411	1008	1439
412	1011	1437
413	1014	1435
414	1015	1431
415	1017	1428
416	1019	1424
417	1022	1423
418	1024	1420
419	1027	1418
420	1029	1415
421	1031	1412
422	1032	1408
423	1034	1405
424	1036	1402
425	1038	1399
426	1041	1397
427	1043	1394
428	1045	1391
429	1046	1387
430	1048	1384
431	1050	1380
432	1052	1377
433	1054	1375
434	1057	1373
435	1059	1370
436	1061	1367
437	1063	1364
438	1064	1360
439	1066	1357
440	1068	1354
441	1070	1351
442	1072	1349
443	1075	1346
444	1077	1343
445	1079	1340
446	1080	1337
447	1082	1333
448	1084	1330
449	1086	1328
450	1089	1325
451	1091	1323
452	1094	1321
453	1095	1317
454	1097	1314
455	1099	1311
456	1101	1308
457	1103	1305
458	1105	1303
459	1108	1300
460	1109	1297
461	1111	1294
462	1113	1291
463	1115	1288
464	1117	1285
465	1118	1282
466	1121	1280
467	1123	1277
468	1125	1274
469	1127	1271
470	1128	1267
471	1130	1264
472	1133	1262
473	1134	1259
474	1137	1257
475	1139	1254
476	1141	1251
477	1143	1248
478	1145	1245
479	1146	1242
480	1148	1239
481	1150	1236
482	1152	1233
483	1154	1231
484	1156	1228
485	1158	1225
486	1160	1222
487	1161	1218
488	1164	1216
489	1166	1213
490	1168	1211
491	1170	1208
492	1172	1205
493	1174	1202
494	1175	1199
495	1177	1196
496	1179	1194
497	1181	1191
498	1183	1187
499	1186	1186
500	1188	1184
501	1191	1181
502	1193	1179
503	1195	1176
504	1197	1174
505	1200	1171
506	1202	1169
507	1204	1167
508	1206	1164
509	1208	1160
510	1209	1157
511	1212	1155
512	1214	1152
513	1215	1149
514	1218	1147
515	1220	1145
516	1222	1142
517	1224	1139
518	1225	1136
519	1227	1133
520	1229	1130
521	1231	1127
522	1233	1125
523	1236	1122
524	1237	1119
525	1239	1117
526	1241	1114
527	1243	1111
528	1245	1109
529	1247	1106
530	1249	1103
531	1252	1101
532	1254	1098
533	1255	1095
534	1257	1093
535	1259	1090
536	1261	1087
537	1263	1084
538	1265	1081
539	1267	1079
540	1269	1077
541	1271	1074
542	1272	1071
543	1274	1068
544	1276	1065
545	1278	1063
546	1280	1060
547	1283	1058
548	1285	1055
549	1286	1052
550	1288	1050
551	1290	1047
552	1292	1044
553	1294	1042
554	1296	1039
555	1298	1037
556	1300	1034
557	1302	1031
558	1304	1029
559	1306	1026
560	1307	1023
561	1310	1021
562	1311	1018
563	1314	1016
564	1317	1013
565	1318	1011
566	1320	1008
567	1322	1005
568	1323	1002
569	1325	1000
570	1327	997
571	1331	995
572	1333	993
573	1335	991
574	1337	988
575	1340	986
576	1342	984
577	1344	981
578	1347	979
579	1348	976
580	1350	973
581	1351	970
582	1354	968
583	1355	965
584	1357	963
585	1359	960
586	1362	958
587	1363	955
588	1365	952
589	1367	950
590	1368	947
591	1370	944
592	1372	941
593	1374	939
594	1375	936
595	1378	934
596	1380	931
597	1382	929
598	1383	926
599	1385	923
600	1387	921
601	1389	918
602	1391	916
603	1393	913
604	1395	911
605	1397	908
606	1399	905
607	1400	903
608	1402	900
609	1404	897
610	1406	895
611	1408	892
612	1410	890
613	1412	887
614	1413	885
615	1415	882
616	1417	879
617	1419	877
618	1420	874
619	1423	872
620	1424	869
621	1427	867
622	1429	865
623	1431	862
624	1433	860
625	1435	857
626	1436	854
627	1438	852
628	1440	849
629	1443	847
630	1445	845
631	1447	842
632	1448	840
633	1450	837
634	1452	834
635	1454	832
636	1456	830
637	1459	828
638	1462	825
639	1463	823
640	1465	820
641	1467	818
642	1469	815
643	1470	813
644	1472	810
